순번,금융회사 명,금융 상품명,가입 방법,대출종류 코드,대출종류명,CB 회사명,공시 시작일,공시 제출월,공시 종료일,900점 초과,801~900점,701~800점,601~700점,501~600점,401~500점,301~400점,300점 이하,평균 금리
1,삼성생명보험주식회사,개인신용대출,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",1,일반신용대출,NICE,20211220,202407,,7.08,7.48,,,,,,,7.27
2,삼성생명보험주식회사,개인신용대출,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",1,일반신용대출,NICE,20211220,202407,,4.29,3.72,,,,,,,4.03
3,삼성생명보험주식회사,개인신용대출,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",1,일반신용대출,NICE,20211220,202407,,2.79,3.76,,,,,,,3.24
4,흥국생명보험주식회사,개인신용대출,"영업점,인터넷,스마트폰,모집인",1,일반신용대출,"NICE, KCB",20151120,202407,,,7.65,8.93,,,,,,8.11
5,흥국생명보험주식회사,개인신용대출,"영업점,인터넷,스마트폰,모집인",1,일반신용대출,"NICE, KCB",20151120,202407,,,3.88,3.88,,,,,,3.88
6,흥국생명보험주식회사,개인신용대출,"영업점,인터넷,스마트폰,모집인",1,일반신용대출,"NICE, KCB",20151120,202407,,,3.77,5.05,,,,,,4.23
7,교보생명보험주식회사,개인신용대출,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",1,일반신용대출,"NICE, KCB",20240716,202407,,7.21,7.54,8.55,9.97,,,,,7.57
8,교보생명보험주식회사,개인신용대출,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",1,일반신용대출,"NICE, KCB",20240716,202407,,4.67,4.67,4.67,4.67,,,,,4.67
9,교보생명보험주식회사,개인신용대출,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",1,일반신용대출,"NICE, KCB",20240716,202407,,2.54,2.87,3.88,5.3,,,,,2.9
10,DB손해보험주식회사,One-stop직장인프로미론,"인터넷,스마트폰,전화(텔레뱅킹)",1,일반신용대출,KCB/NICE,20240712,202407,,,13.05,,,,,,,13.05
11,DB손해보험주식회사,One-stop직장인프로미론,"인터넷,스마트폰,전화(텔레뱅킹)",1,일반신용대출,KCB/NICE,20240712,202407,,,3.09,,,,,,,3.09
