순번,금융 상품명,전처리 대출 한도,대출 한도,전처리 이자율,이자율 ,전처리 최대 상환 기간,최대 상환 기간,상환 방법,대출종류명,대상,금융회사 명,지역,전처리 된 연령 시작,전처리 된 연령 끝,연령 제한,수급자여부,전처리 소득 시작 조건,전처리 소득 끝 조건,전처리 신용점수 시작,전처리 신용점수 이하,대출 조건,신청 방법,보증료율,연락처,상품 기간
1,새희망홀씨Ⅱ,3500,3500,10.5,은행별 상이~10.5,7,1~7,원(리)금균등분할상환,생계,근로자,15개 취급은행,전국,0,99,없음,1,3500,4500,0,1000,"연 3,500만원 이하 (개인신용평점 하위 20% 이하는 연 4,500만원 이하)",15개 취급은행 방문,-,"취급은행 콜센터, 서민금융콜센터 (국번없이)1397",상시
2,징검다리론,3000,3000,9,은행별 상이~9.0,5,1~5,원(리)금균등분할상환,생계,기타,15개 취급은행,전국,0,99,없음,1,0,999999,0,1000,없음,15개 취급은행 방문,-,"취급은행 콜센터, 서민금융콜센터 (국번없이)1397",상시
3,"우리지역 氣-Up 서포트론(영세 소기업,소상공인)",10000,10000,3.85,은행금리,4,4,원금균등분할상환,운영·시설,"소기업, 소상공인",BNK경남은행,"경남, 울산",0,99,없음,1,0,999999,0,1000,없음,BNK경남은행 전국 지점 방문,대출금리+3.0% (최고 연 15%),BNK경남은행 디지털상담부 1600-8585,상시
4,경상남도 청년 전세자금(경상남도 협약 상품),9000,9000,3.75,은행금리,0,0,일시상환,주거,"근로자, 사업자, 청년",BNK경남은행,경남,19,34,만 19세~만 34세,1,3300,6000,0,1000,"본인연소득 3,300만원 또는 부부합산 연소득 6,000만원 이하",BNK경남은행 전국 지점 방문,대출금리+3.0% (최고 연 15%),BNK경남은행 디지털상담부 1600-8585,상시
5,IBK퍼스트원대출,2000,2000,2.9,2.9,10,"5, 10",원(리)금균등분할상환,생계,근로자,IBK기업은행,전국,0,34,만 34세 이하,1,0,3500,0,1000,"연 3,500만원 이하",은행 APP을 통한 신청 또는 영업점 방문,대출금리+3.0% (최대 연11%),1566-2566,상시
6,i-ONE근로자생활안정자금대출,1000,1000,3.6,~3.6,5,5,원금균등분할상환,생계,근로자,IBK기업은행,전국,0,99,없음,1,0,999999,0,1000,없음,"인터넷뱅킹, 은행 APP을 통한 신청 또는 영업점 방문",대출이자율+3%(최고 연11%),1566-2566,상시
7,IBK청년전·월세대출 (전세),10000,10000,2.78,2.78,3,3,만기일시상환,주거,"근로자, 사업자, 청년",IBK기업은행,전국,0,34,만 34세 이하,1,0,999999,0,1000,_,영업점 방문,대출이자율+3%(최고 연13%),1566-2566,상시
8,IBK청년전·월세대출 (월세),1200,1200,2.6,2.6,5,"3, 5",원금균등분할상환,주거,"근로자, 사업자, 청년",IBK기업은행,전국,0,34,만 34세 이하,1,0,999999,0,1000,_,영업점 방문,대출이자율+3%(최고 연13%),1566-2566,상시
9,NH희망드림대출,500,500,0,-,7,"1,7","원(리)금균등분할상환, 만기일시상환",생계,"근로자, 사업자",NH농협은행,전국,0,99,없음,1,0,999999,0,1000,없음,"농협은행 영업점 방문, 모바일 신청","* 지연배상금률은 연체기간에 관계없이 연체일수×(채무자 대출금리+ 3%)÷365(윤년은 366)로 적용하되, 지연배상금률이 연 15%를 초과하는 경우에는 연 15%를 적용합니다.",1661-3000 / 1522-3000,상시
10,사잇돌Ⅱ대출_표준,3000,3000,19.9,~19.9,5,5,원(리)금균등분할상환,생계,"근로자, 사업자, 연금소득자",SGI서울보증,전국,0,99,없음,1,1200,999999,0,1000,"(근로소득) 연 1,200만원 이상, (사업·연금소득) 연 600만원 이상","취급 금융기관 방문, 서금원 맞춤대출 조회",-,"취급 저축은행 콜센터, 서민금융콜센터 (국번없이) 1397, 서민금융진흥원 맞춤대출 조회(loan.kinfa.or.kr)",상시
11,사잇돌Ⅱ대출_간편/소액_비대면용,300,300,19.9,~19.9,1.5,1.5,원(리)금균등분할상환,생계,"근로자, 사업자, 연금소득자",SGI서울보증,전국,0,99,없음,1,1200,999999,0,1000,"(근로소득) 연 1,200만원 이상, (사업·연금소득) 연 600만원 이상","취급 금융기관 방문, 서금원 맞춤대출 조회",-,"취급 저축은행 콜센터, 서민금융콜센터 (국번없이) 1397, 서민금융진흥원 맞춤대출 조회(loan.kinfa.or.kr)",상시
12,사잇돌Ⅱ대출_대환형,2000,2000,19.9,~19.9,5,5,원(리)금균등분할상환,저금리전환,"근로자, 사업자, 연금소득자",SGI서울보증,전국,0,99,없음,1,1200,999999,0,1000,"(근로소득) 연 1,200만원 이상, (사업·연금소득) 연 600만원 이상","취급 금융기관 방문, 서금원 맞춤대출 조회",-,"취급 저축은행 콜센터, 서민금융콜센터 (국번없이) 1397, 서민금융진흥원 맞춤대출 조회(loan.kinfa.or.kr)",상시
13,사잇돌Ⅱ대출_채무조정졸업자,1000,1000,19.9,~19.9,5,5,원(리)금균등분할상환,생계,채무조정자,SGI서울보증,전국,0,99,없음,1,1200,999999,0,1000,"(근로소득) 연 1,200만원 이상, (사업·연금소득) 연 600만원 이상","취급 금융기관 방문, 서금원 맞춤대출 조회",-,"취급 저축은행 콜센터, 서민금융콜센터 (국번없이) 1397, 서민금융진흥원 맞춤대출 조회(loan.kinfa.or.kr)",상시
14,융자금지원(자활기금 자활 지원사업 지원),1000,1000,3,3,3,3,"분할상환, 만기일시상환",생계,금융취약계층,강원도 고성군,강원,0,99,없음,0,0,999999,0,1000,수급자 및 차상위계층,강원 고성군청 방문,-,033-680-3322,기관 문의
15,생업자금융자,5000,5000,3,3,5,5,원(리)금균등분할상환,생계,금융취약계층,강원도 삼척시,강원,0,99,없음,0,0,999999,0,1000,최저생계비의 150%이하인 자,삼척시 읍·면·동 주민센터 방문,-,033-570-3312,기관 문의
16,저소득주민 융자사업,3000,3000,0,0,3,3,만기일시상환,생계,금융취약계층,강원도 영월군,강원,0,99,없음,0,0,999999,0,1000,기초생활수급자 및 차상위 계층,사업 공고내용에 따라 접수기간내 신청서 및 제반 증빙서류 제출,-,033-370-2627,기관 문의
17,자활기금 대여사업,3000,3000,1,1,3,3,"분할상환, 만기일시상환",생계,금융취약계층,강원도 춘천시,강원,0,99,없음,0,0,999999,0,1000,기초생활수급자 및 차상위 계층,강원 춘천시청 방문(보증인 반드시 동행),0.05,033-250-4162,기관 문의
18,중·저신용 소상공인 지원 특례보증,2000,2000,0,-,5,1~5,일시상환,운전,소상공인,강원신용보증재단,강원,0,99,없음,1,0,999999,0,1000,없음,사업장 소재 강원신용보증재단 각 지점 방문,은행확인,강원신용보증재단 033-260-0001,
19,청년창업사관학교협약보증,1500,1500,0,-,1,1,일시상환(최대5년까지 기한연장 가능),운전,소상공인,강원신용보증재단,강원,0,99,없음,1,0,999999,0,1000,없음,사업장 소재 강원신용보증재단 각 지점 방문,은행확인,강원신용보증재단 033-260-0001,
20,강원도형 사회적경제기업 특례보증,40000,40000,0,-,5,1~5,일시상환(최대5년까지 1년단위 기한연장가능) 또는 분할상환,운전,소상공인,강원신용보증재단,강원,0,99,없음,1,0,999999,0,1000,없음,사업장 소재 강원신용보증재단 각 지점 방문,은행확인,강원신용보증재단 033-260-0001,
21,2022 강원도 소상공인 경영안정자금 협약보증,5000,5000,0,-,5,5년이내(최초 보증기간 2년으로 1년단위로 기한연장 가능),-,운전,소상공인,강원신용보증재단,강원,0,99,없음,1,0,999999,0,1000,없음,사업장 소재 강원신용보증재단 각 지점 방문,-,"- 춘천지점: 033-260-0011(관할지역: 춘천, 홍천, 인제, 화천, 양구, 철원) - 원주지점: 033-260-0051(관할지역: 원주, 횡성) - 강릉지점: 033-260-0061(관할지역: 강릉, 평창) - 속초지점: 033-260-0072(관할지역: 속초, 고성, 양양) - 태백지점: 033-260-0081(관할지역: 태백, 정선, 영월) - 동해지점: 033-260-0087(관할지역: 동해, 삼척)",2022. 2. 18. ~ 한도 소진 시 까지
